診療項目代碼,診療項目中文,診療項目英文,支付點數,生效起日,生效訖日,品項類別,給付說明,適應症
05347C,山地離島地區護理訪視費(次)-資源耗用群為第二類(在合理量內)2.機構,,1536,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05348C,護理訪視費(次)-資源耗用群為第二類(超出合理量)2.機構,,580,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05349C,山地離島地區護理訪視費(次)-資源耗用群為第二類(超出合理量)2.機構,,768,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05350C,護理訪視費(次)-資源耗用群第三類(在合理量內)2.機構,,1404,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05351C,山地離島地區護理訪視費(次)-資源耗用群為第三類(在合理量內)2.機構,,1853,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05352C,護理訪視費(次)-資源耗用群第三類(超出合理量)2.機構,,700,104.02.01,999.12.31,居家照護費,1.資源耗用群分類： 第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪,
05353C,山地離島地區護理訪視費(次)-資源耗用群為第三類(超出合理量)2.機構,,924,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05354C,護理訪視費(次)-資源耗用群為第四類(在合理量內)2.機構,,1644,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05355C,山地離島地區護理訪視費(次)-資源耗用群為第四類(在合理量內)2.機構,,2170,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05356C,護理訪視費(次)-資源耗用群為第四類(超出合理量)2.機構,,820,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05357C,山地離島地區護理訪視費(次)-資源耗用群為第四類(超出合理量)2.機構,,1080,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05358C,醫師訪視費(次)2.機構,,1242,110.12.01,999.12.31,居家照護費,1.訪視次數每一個案至少每三個月訪視一次，每二個月申報一次為限，若病人病情有顯著變化，需要多於一次者，申報費用時應檢附訪視紀錄，並詳述理由。2.每位醫師訪視個案數，每日以八人次為原則；每月以一百八十人次為限。3.訪視醫師，以與保險人特約之保險醫事服務機構之醫師為限。,
05359C,山地離島地區醫師訪視費(次)2.機構,,1640,111.06.01,999.12.31,居家照護費,1.訪視次數每一個案至少每三個月訪視一次，每二個月申報一次為限，若病人病情有顯著變化，需要多於一次者，申報費用時應檢附訪視紀錄，並詳述理由。2.每位醫師訪視個案數，每日以八人次為原則；每月以一百八十人次為限。3.訪視醫師，以與保險人特約之保險醫事服務機構之醫師為限。,
05360C,醫師訪視費(次)2.機構－同一醫師，應同一承辦居家照護業務機構之請，當日訪視個案在五個以上者，自第五個個案起，其訪視費依本項申報,,600,111.06.01,999.12.31,居家照護費,1.訪視次數每一個案至少每三個月訪視一次，每二個月申報一次為限，若病人病情有顯著變化，需要多於一次者，申報費用時應檢附訪視紀錄，並詳述理由。2.每位醫師訪視個案數，每日以八人次為原則；每月以一百八十人次為限。3.訪視醫師，以與保險人特約之保險醫事服務機構之醫師為限。,
